Aur Pyaar Ho Gaya
Auzaar
Banarasi Babu
Betaabi
Bhai
Bhai Bhai
Bhayaanak Panja
Chachi 420
Char Adhyay
Chupp
Daadagiri
Daava
Dance of the Wind
Darmiyaan
Daud
Dil Ke Jharoke Main
Dhaal
Do Ankhen Barah Hath
Ek Phool Teen Kante
Ghulam-E-Mustafa
Gudia
Gudgudee
Gundagardi
Hameshaa
Himalay Putra
Insaaf
Itihaas
Jeeo Shaan Se
Jeevan Yudh
Jodidar
Judge Mujrim
Kaal Sandhya
Kaalia
Kaun Rokega Mujhe
Kaun Sachcha Kaun Jhootha
Kamsin: The Untouched
Koi Kisise Kum Nahin
Krishna Arjun
Lahu Ke Do Rang
Lav Kush
Loha
Mahaanta
Mere Sapno Ki Rani
Mohabbat
Mrityudand
Mrityudata
Mr. and Mrs. Khiladi
Naseeb
Prithvi
Qahar
Rui Ka Bojh
Saat Rang Ke Sapne
Salma Pe Dil Aa Gaya
Sanam
Shapath
Share Bazaar
Sixth Happiness
Suraj
Tamanna
Tarazu
Tunnu Ki Tina
Udaan
Uff! Yeh Mohabbat
Virasat
Vishwavidhaata
Yes Boss
Yeshwant
Zameer: The Awakening of a Soul
Kuch Kuch Hota Hai
Soldier
Pyaar To Hona Hi Tha
Bade Miyan Chote Miyan
Pyaar Kiya To Darna Kya
Dil Se..
Ghulam
Major Saab
Dulhe Raja
China Gate
Jab Pyaar Kisise Hota Hai
Duplicate
2001: Do Hazaar Ek
Aakrosh
Achanak
Angaaray
Aunty No. 1
Bada Din
Badmaash
Bandhan
Barood
Bombay Boys
Chandaal
Chhota Chetan
Dand Nayak
Deewana Hoon Pagal Nahi
Devta
Dhoondte Reh Jaaoge!
Do Numbri
Doli Saja Ke Rakhna
Dushman
1947 
Ehsaas is Tarah
Ek Tha Dil Ek Thi Dhadkan
Ghar Bazar
Gharwali Baharwali
Gunda
Hafta Vasuli
Hatya Kaand
Hatyara
Hazaar Chaurasi Ki Maa
Hero Hindustani
Himmatwala
Hitler
Humse Badhkar Kaun
Hyderabad Blues
Iski Topi Uske Sarr
Jaane Jigar
Jhooth Bole Kauwa Kaate
Kabhi Na Kabhi
Kareeb
Keemat – They Are Back
Khofnak Mahal
Khote Sikkey
Kudrat
Laash
Mafia Raaj
Maharaja
Main Solah Baras Ki
Mard
Mehndi
Mere Do Anmol Ratan
Military Raaj
Miss 420
Mohabbat Aur Jung
Pardesi Babu
Phool Bane Patthar
Prem Aggan
Purani Kabar
Pyasi Aatma
Qila
Saaz
Saazish
Salaakhen
Sar Utha Ke Jiyo
Satya
Sham Ghansham
Sher-E-Hindustan
Swami Vivekananda
Tirchhi Topiwale
Train To Pakistan
Ustadon Ke Ustad
Vinashak – Destroyer
Wajood
Yamraaj
Yugpurush
Zakhm
Zanjeer
Zor
Zulm-O-Sitam
Hum Saath-Saath Hain
Biwi No.1
Hum Dil De Chuke Sanam
Taal
Hum Aapke Dil Mein Rehte Hain
Sarfarosh
Baadshah
Mann
Kachche Dhaage
Haseena Maan Jaayegi
Aaag Hi Aag
Aa Ab Laut Chalen
Aarzoo
Aaya Toofan
Anari No.1
Arjun Pandit
Bade Dilwala
Benaam
Bhoot Ka Darr
Bhopal Express
Chalo America
Chandaal Aatma
Chehraa
Chudail No. 1
Daag
Dahek
Dil Kya Kare
Dillagi
Double Gadbad
Dracula
Dubashi
Dulhan Banoo Main Teri
Gair
Ganga Ki Kasam
Godmother
Heeralal Pannalal
Hello Brother
Hindustan Ki Kasam
Hogi Pyaar Ki Jeet
Hote Hote Pyar Ho Gaya
Hu Tu Tu
Hum Tum Pe Marte Hain
International Khiladi
Jaanam Samjha Karo
Jaanwar
Jahan Tum Le Chalo
Jai Hind
Kaala Samrajya
Kaama
Kahani Kismat Ki
Kartoos
Kaun?
Khoobsurat
Khooni Ilaaka:The Prohibited Area
Khoonkar Darinde
Khopdi: The Skull
Kohram
Laawaris
Lal Baadshah
Last Train to Mahakali
Lo Main Aa Gaya
Lohpurush
Maa Kasam
Manchala
Mast
Mother
Munnibai
Murdaa Ghar
Naukar Ki Kameez
Nyaydaata
Phir Kabhi
Phool Aur Aag
Putlibai
